openalex_id,doi,year,cites_seed,title,abstract_available,abstract_text,keyword_flag
https://openalex.org/W4250606579,https://doi.org/10.1109/tpds.2019.2954077,2019,Guerreiro TPDS 2019,2019 Index IEEE Transactions on Parallel and Distributed Systems Vol. 30,True,"This index covers all technical items-papers, correspondence, reviews, etc.-that appeared in this periodical during 2019, and items from previous years that were commented upon or corrected in 2019.Departments and other items may also be covered if they have been judged to have archival value.The Author Index contains the primary entry for each item, listed under the first author's name.The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination.The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages.",False
https://openalex.org/W4250809550,https://doi.org/10.1109/tpds.2020.3033655,2020,Guerreiro TPDS 2019,2020 Index IEEE Transactions on Parallel and Distributed Systems Vol. 31,True,"This index covers all technical items-papers, correspondence, reviews, etc.-that appeared in this periodical during 2020, and items from previous years that were commented upon or corrected in 2020.Departments and other items may also be covered if they have been judged to have archival value.The Author Index contains the primary entry for each item, listed under the first author's name.The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination.The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages.",False
https://openalex.org/W3017389938,https://doi.org/10.1109/ccgrid49817.2020.00-35,2020,Guerreiro TPDS 2019,A Data-Driven Frequency Scaling Approach for Deadline-aware Energy Efficient Scheduling on Graphics Processing Units (GPUs),True,"Modern computing paradigms, such as cloud computing, are increasingly adopting GPUs to boost their computing capabilities primarily due to the heterogeneous nature of AI/ML/deep learning workloads. However, the energy consumption of GPUs is a critical problem. Dynamic Voltage Frequency Scaling (DVFS) is a widely used technique to reduce the dynamic power of GPUs. Yet, configuring the optimal clock frequency for essential performance requirements is a non-trivial task due to the complex nonlinear relationship between the application's runtime performance characteristics, energy, and execution time. It becomes more challenging when different applications behave distinctively with similar clock settings. Simple analytical solutions and standard GPU frequency scaling heuristics fail to capture these intricacies and scale the frequencies appropriately. In this regard, we propose a data-driven frequency scaling technique by predicting the power and execution time of a given application over different clock settings. We collect the data from application profiling and train the models to predict the outcome accurately. The proposed solution is generic and can be easily extended to different kinds of workloads and GPU architectures. Furthermore, using this frequency scaling by prediction models, we present a deadline-aware application scheduling algorithm to reduce energy consumption while simultaneously meeting their deadlines. We conduct real extensive experiments on NVIDIA GPUs using several benchmark applications. The experiment results have shown that our prediction models have high accuracy with the average RMSE values of 0.38 and 0.05 for energy and time prediction, respectively. Also, the scheduling algorithm consumes 15.07% less energy as compared to the baseline policies.",True
https://openalex.org/W3120533014,https://doi.org/10.1109/access.2021.3049237,2021,Guerreiro TPDS 2019,A Greener Meta-Heuristics Scheduling Algorithm With Energized Optimization Dynamics by Deeper Intelligence Fusion,True,"As is known to all, the heterogeneous green scheduling objects have the intelligent feedback related to the efficiencies corresponding to the schemes, which has been largely ignored in most existing studies. That is why the existing optimization dynamics in green meta-heuristics scheduling algorithms, generally appear underpowered and vulnerable in the face of the rapid extension from homogeneity to heterogeneity of scheduling objects. Then, with respecting and ingeniously leveraging hardware (i.e., heterogeneous scheduling objects) intelligence, an efficient meta-heuristics algorithm with re-energized majorization dynamics for heterogeneous greener scheduling (i.e., CAr_FI(HS)), is proposed. The experimental results show that compared with the other meta-heuristics scheduling algorithms, CAr_FI(HS) has obvious advantages in the overall performance and the solution quality, for both data intensive and computing intensive instances.",False
https://openalex.org/W4296012263,https://doi.org/10.4218/etrij.2022-0094,2022,Guerreiro HPCA 2018,A layer‐wise frequency scaling for a neural processing unit,True,"Dynamic voltage frequency scaling (DVFS) has been widely adopted for run-time power management of various processing units. In the case of neural processing units (NPUs), power management of neural network applications is required to adjust the frequency and voltage every layer to consider the power behavior and performance of each layer. Unfortunately, DVFS is inappropriate for layer-wise run-time power management of NPUs due to the long latency of voltage scaling compared with each layer execution time. Because the frequency scaling is fast enough to keep up with each layer, we propose a layer-wise dynamic frequency scaling (DFS) technique for an NPU. Our proposed DFS exploits the highest frequency under the power limit of an NPU for each layer. To determine the highest allowable frequency, we build a power model to predict the power consumption of an NPU based on a real measurement on the fabricated NPU. Our evaluation results show that our proposed DFS improves frame per second (FPS) by 33% and saves energy by 14% on average, compared with DVFS.",True
https://openalex.org/W4412661978,https://doi.org/10.2139/ssrn.5367603,2025,Guerreiro HPCA 2018,A Portable Compiler-Runtime Approach for Scalability Prediction,True,"Highly scalable parallel applications can efficiently solve expensive computational problems when run on a large number of compute nodes. However, selecting the optimal number of nodes for a compute job of a given size is non-trivial, and allocating too few or too many nodes may not yield the expected performance. Knowing the scaling behavior of an application in advance enables us, for example, to make optimal use of the available hardware resources.We introduce a novel, portable approach to predict the scalability of parallel applications written in modern high-level programming models. We propose a predictive compiler-runtime framework based on Celerity, a task-based distributed runtime system that enables executing SYCL codes on clusters. The framework targets a broad range of computing systems, from CPU to GPU clusters, and proposes a model that combines machine learning, communication modeling and DAG heuristics. Experimental results on two large-scale clusters, JUWELS and Marconi-100, show accurate scalability prediction of unseen single and multi-task applications.",False
https://openalex.org/W7166354018,https://doi.org/10.1145/3801487.3801808,2026,Guerreiro HPCA 2018,A Portable GPU Kernel Performance Modeling Method Based on LLVM IR Dynamic Feature Prediction,True,"Performance modeling of GPU kernels is essential for compiler optimizations, runtime scheduling, and auto-tuning systems. However, existing approaches often rely on hardware-specific metrics or require online kernel execution to collect dynamic features during prediction, which incurs significant overhead and limits their deployment in latency-sensitive scenarios while hindering cross-platform generalization. To eliminate the need for online profiling while maintaining prediction accuracy across GPU platforms, we propose a specialized two-stage performance model mehod that leverages platform-independent dynamic features. Our method uses platform-independent basic block execution counts (BBC) derived from instrumented LLVM IR to train a shared Feature Prediction (FP) model that predicts BBC from static launch configurations (e.g., problem size, thread launch configuration), and lightweight platform-specific Performance Prediction (PP) models are trained to estimate runtime from these features. This design requires profiling only on a single reference device per compilation ecosystem (e.g., CUDA or ROCm) and enables intra-ecosystem portability, reducing profiling and retraining overhead when deploying across multiple GPUs. Moreover, at inference time, runtime is estimated without kernel execution, thereby eliminating the need for online profiling. We evaluate our method on 34 kernels from PolyBench and Rodinia across two compilation ecosystems. Experiments show that our approach achieves an average MAPE of 8.3% on three ROCm platforms and 4.96% on three CUDA platforms, outperforming existing methods in both prediction accuracy and intra-ecosystem portability.",False
https://openalex.org/W3000837919,https://doi.org/10.1145/3431731,2020,Guerreiro HPCA 2018,A Simple Model for Portable and Fast Prediction of Execution Time and Power Consumption of GPU Kernels,True,"Characterizing compute kernel execution behavior on GPUs for efficient task scheduling is a non-trivial task. We address this with a simple model enabling portable and fast predictions among different GPUs using only hardware-independent features. This model is built based on random forests using 189 individual compute kernels from benchmarks such as Parboil, Rodinia, Polybench-GPU, and SHOC. Evaluation of the model performance using cross-validation yields a median Mean Average Percentage Error (MAPE) of 8.86–52.0% for time and 1.84–2.94% for power prediction across five different GPUs, while latency for a single prediction varies between 15 and 108 ms.",False
https://openalex.org/W3048972790,https://doi.org/10.4218/etrij.2020-0134,2020,Guerreiro TPDS 2019,AB9: A neural processor for inference acceleration,True,"We present AB9, a neural processor for inference acceleration. AB9 consists of a systolic tensor core (STC) neural network accelerator designed to accelerate artificial intelligence applications by exploiting the data reuse and parallelism characteristics inherent in neural networks while providing fast access to large on-chip memory. Complementing the hardware is an intuitive and user-friendly development environment that includes a simulator and an implementation flow that provides a high degree of programmability with a short development time. Along with a 40-TFLOP STC that includes 32k arithmetic units and over 36 MB of on-chip SRAM, our baseline implementation of AB9 consists of a 1-GHz quad-core setup with other various industry-standard peripheral intellectual properties. The acceleration performance and power efficiency were evaluated using YOLOv2, and the results show that AB9 has superior performance and power efficiency to that of a general-purpose graphics processing unit implementation. AB9 has been taped out in the TSMC 28-nm process with a chip size of 17 × 23 mm2. Delivery is expected later this year.",False
https://openalex.org/W7172390713,https://doi.org/10.1109/isca66397.2026.00065,2026,Guerreiro HPCA 2018,Accelerator Polymorphism: Transcending Domain-Specific Architectures with Robotics,False,,False
